,rel_hum,sp_hum,abs_hum,u_wind,v_wind,temp
215,26.0,0.0043,4.17374472483,-3.7,1.7,291.9
216,9.0,0.00326,3.05044447266,-4.2,2.8,305.2
217,11.0,0.00339,3.32991475195,-3.1,0.7,303.1
218,24.0,0.004,3.94475908542,-4.3,-0.1,292.3
219,28.0,0.00454,4.41567216151,-5.3,0.2,291.6
220,12.0,0.00403,3.89669199902,-5.6,1.2,304.4
221,12.0,0.00366,3.42137587756,-5.5,1.6,302.0
222,20.0,0.00329,3.22960741646,-5.90000152588,1.4,292.0
223,23.0,0.00325,3.29698873607,-5.6,0.7,290.000024414
224,10.0,0.00332,3.06018919358,-4.1,1.79999847412,303.3
225,14.0,0.00397,3.86244773911,-0.9,1.39999847412,301.4
226,27.0,0.00452,4.4378539711,-1.8,3.1,292.3
227,30.0,0.00499,4.87310957488,-0.7,1.8,292.1
228,13.0,0.00462,4.26697524166,0.699998474121,0.7,304.6
229,29.0,0.00817,7.65568888424,1.3,-0.4,300.6
230,35.0,0.00566,5.6185025142,-0.7,1.5,291.9
231,28.0,0.00465,4.60221893299,-0.5,2.1,292.3
232,15.0,0.00535,5.11128088193,-1.3,0.9,305.3
233,16.0,0.00518,4.97641638312,-1.80000152588,1.6,303.6
234,28.0,0.00537,5.14339147728,-2.9,3.1,294.2
235,32.0,0.0056,5.48063773285,-3.3,1.3,293.0
236,13.0,0.00518,4.64691509217,-0.2,0.299998474121,306.2
237,15.0,0.00445,4.30016687223,3.29999847412,-2.7,302.1
238,23.0,0.00427,4.1277583201,2.1,-2.6,293.8
239,39.0,0.00631,6.22368951003,0.8,0.1,291.8
240,18.0,0.00502,4.72560076917,2.9,-1.7,300.5
241,18.0,0.00483,4.57096545992,2.1,1.19999847412,299.9
242,29.0,0.00445,4.41320881375,1.7,0.7,291.0
243,40.0,0.00659,6.49747943317,-0.7,0.2,292.1
244,16.0,0.00549,5.11244611144,-2.20000152588,-0.2,304.1
245,17.0,0.00534,4.95399653512,-1.1,-0.6,302.4
246,29.0,0.00544,5.38927432446,-5.3,-0.9,294.4
247,29.0,0.00537,5.32708403004,-4.3,1.2,294.2
248,17.0,0.00658,6.17401185643,-1.50000152588,-0.3,306.500024414
249,21.0,0.00677,6.28847490508,0.9,-1.2,302.900024414
250,31.0,0.00568,5.53116864788,-0.9,-0.7,293.7
251,31.0,0.0063,6.03362876994,-1.2,0.8,295.2
252,13.0,0.00551,5.27118993489,0.1,-0.6,308.600024414
