,rel_hum,sp_hum,abs_hum,u_wind,v_wind,temp
410,96.0,0.00634,6.67652704994,-4.80000152588,-0.600001525879,278.5
411,95.0,0.00595,6.30833423853,-5.1,0.1,277.800024414
412,54.0,0.00688,6.94254933481,-2.8,1.0,288.2
413,72.0,0.00755,7.69410769013,-3.10000152588,0.3,285.2
414,92.0,0.00677,7.05871091347,-3.2,1.6,280.0
415,98.0,0.00695,7.27784631739,-2.3,1.4,279.5
416,38.0,0.00658,6.47019835655,1.89999847412,-0.400001525879,292.9
417,62.0,0.0076,7.73156414092,1.8,0.6,287.7
418,62.0,0.00558,5.73225805772,1.3,2.49999847412,282.9
419,73.0,0.00542,5.63748748666,1.5,2.8,280.1
420,16.0,0.00341,3.24196780647,6.59999847412,1.6,295.9
421,24.0,0.00355,3.56619729068,5.1,1.3,290.6
422,47.0,0.00422,4.37311404559,1.9,3.1,283.0
423,65.0,0.00493,5.15173515459,1.39999847412,2.0,280.5
424,13.0,0.00308,2.90182557593,5.4,0.999998474121,297.6
425,25.0,0.00377,3.75940750571,3.0,0.8,290.8
